state,district,month,enrol_total,cis,anomaly_score,anomaly_type
Uttar Pradesh,Agra,2025-03,906.0,0.201,-0.0040725332201239,Unclear (Needs Investigation)
Uttar Pradesh,Agra,2025-07,4569.0,0.915,-0.0601725403141719,Unclear (Needs Investigation)
Uttar Pradesh,Agra,2025-09,5764.0,0.552,-0.0059001628461295,Unclear (Needs Investigation)
Uttar Pradesh,Agra,2025-11,4537.0,0.561,-0.0146497532228343,Unclear (Needs Investigation)
Uttar Pradesh,Agra,2025-12,3379.0,0.451,-0.0162343744611089,Unclear (Needs Investigation)
Maharashtra,Ahmadnagar,2025-03,0.0,0.0,-0.0370706719646835,Data Quality (High Lag + Low Count)
Maharashtra,Ahmadnagar,2025-07,0.0,0.0,-0.0070739042022215,Data Quality (High Lag + Low Count)
Maharashtra,Ahmadnagar,2025-09,3460.0,0.679,-0.0247772218818597,Policy Event (High Enrollment Spike)
Maharashtra,Ahmadnagar,2025-11,2147.0,0.486,-0.0826570865096077,Unclear (Needs Investigation)
Maharashtra,Ahmadnagar,2025-12,4446.0,0.669,-0.0569955195416068,Policy Event (High Enrollment Spike)
Gujarat,Ahmedabad,2025-03,0.0,0.0,-0.1314732435564027,Data Quality (High Lag + Low Count)
Gujarat,Ahmedabad,2025-04,122.0,0.043,-0.0133740498927619,Unclear (Needs Investigation)
Gujarat,Ahmedabad,2025-05,1200.0,0.313,-0.0373762951572501,Unclear (Needs Investigation)
Gujarat,Ahmedabad,2025-06,0.0,0.0,-0.0671260726714888,Data Quality (High Lag + Low Count)
Gujarat,Ahmedabad,2025-07,822.0,0.38,-0.0208114433481617,Unclear (Needs Investigation)
Gujarat,Ahmedabad,2025-09,6051.0,0.654,-0.040463969809993,Policy Event (High Enrollment Spike)
Gujarat,Ahmedabad,2025-11,5369.0,0.547,-0.0324749439630921,Policy Event (High Enrollment Spike)
Gujarat,Ahmedabad,2025-12,3158.0,0.339,-0.0624467969418862,Unclear (Needs Investigation)
Rajasthan,Ajmer,2025-03,0.0,0.0,-0.0192719435337541,Data Quality (High Lag + Low Count)
Uttar Pradesh,Aligarh,2025-03,623.0,0.153,-0.0131764795624176,Unclear (Needs Investigation)
Uttar Pradesh,Aligarh,2025-07,6408.0,0.855,-0.0673393228755583,Unclear (Needs Investigation)
Uttar Pradesh,Allahabad,2025-03,0.0,0.0,-0.0970908421713975,Data Quality (High Lag + Low Count)
Uttar Pradesh,Allahabad,2025-07,0.0,0.0,-0.020111597931964,Data Quality (High Lag + Low Count)
Uttar Pradesh,Allahabad,2025-09,5412.0,0.447,-0.0313964986087467,Unclear (Needs Investigation)
Rajasthan,Alwar,2025-03,0.0,0.0,-0.1088318629324931,Data Quality (High Lag + Low Count)
Rajasthan,Alwar,2025-09,7587.0,0.776,-0.0596560153376911,Policy Event (High Enrollment Spike)
Maharashtra,Amravati,2025-03,0.0,0.0,-0.0257077156722981,Data Quality (High Lag + Low Count)
Maharashtra,Amravati,2025-07,684.0,0.682,-0.0146718948188,Unclear (Needs Investigation)
Maharashtra,Amravati,2025-11,1260.0,0.503,-0.0391856974714108,Unclear (Needs Investigation)
Bihar,Araria,2025-03,0.0,0.0,-0.0871823925951,Data Quality (High Lag + Low Count)
Bihar,Araria,2025-04,0.0,0.0,-0.0057772542587056,Data Quality (High Lag + Low Count)
Bihar,Araria,2025-09,4185.0,0.734,-0.0184482076287154,Unclear (Needs Investigation)
Maharashtra,Aurangabad,2025-07,3835.0,1.0,-0.0684764314286233,Policy Event (High Enrollment Spike)
Maharashtra,Aurangabad,2025-09,4978.0,0.794,-0.0126737824824624,Policy Event (High Enrollment Spike)
Maharashtra,Aurangabad,2025-11,3059.0,0.643,-0.058981095811104,Policy Event (High Enrollment Spike)
Uttar Pradesh,Azamgarh,2025-03,0.0,0.0,-0.0523567174047208,Data Quality (High Lag + Low Count)
Uttar Pradesh,Azamgarh,2025-09,6028.0,0.48,-0.0113276814869321,Unclear (Needs Investigation)
Uttar Pradesh,Bahraich,2025-03,371.0,0.142,-0.0245924356474495,Unclear (Needs Investigation)
Uttar Pradesh,Bahraich,2025-07,10547.0,1.0,-0.0588392693321944,Policy Event (High Enrollment Spike)
Uttar Pradesh,Bahraich,2025-09,7372.0,0.694,-0.0311371408415268,Unclear (Needs Investigation)
Chhattisgarh,Baloda Bazar,2025-06,0.0,0.0,-0.0088290151062067,Data Quality (High Lag + Low Count)
Chhattisgarh,Balrampur,2025-06,0.0,0.0,-0.0447923998534284,Data Quality (High Lag + Low Count)
Gujarat,Banas Kantha,2025-07,9228.0,1.0,-0.0191753139521924,Policy Event (High Enrollment Spike)
Rajasthan,Banswara,2025-03,0.0,0.0,-0.1364570870918287,Data Quality (High Lag + Low Count)
Uttar Pradesh,Bara Banki,2025-03,0.0,0.0,-0.0039255212072929,Data Quality (High Lag + Low Count)
Rajasthan,Baran,2025-03,0.0,0.0,-0.0906972829828732,Data Quality (High Lag + Low Count)
West Bengal,Barddhaman,2025-09,6178.0,0.675,-0.0303872844806647,Policy Event (High Enrollment Spike)
Uttar Pradesh,Bareilly,2025-03,0.0,0.0,-0.1243237917012878,Data Quality (High Lag + Low Count)
Uttar Pradesh,Bareilly,2025-04,4264.0,0.784,-0.0416802482825524,Unclear (Needs Investigation)
Uttar Pradesh,Bareilly,2025-07,3072.0,0.626,-0.041116937714838,Unclear (Needs Investigation)
Uttar Pradesh,Bareilly,2025-09,5358.0,0.505,-0.0184027988045059,Unclear (Needs Investigation)
Uttar Pradesh,Bareilly,2025-11,4619.0,0.627,-0.0241742598506891,Unclear (Needs Investigation)
Uttar Pradesh,Bareilly,2025-12,2776.0,0.44,-0.0145982536673789,Unclear (Needs Investigation)
Rajasthan,Barmer,2025-03,0.0,0.0,-0.1188065284929582,Data Quality (High Lag + Low Count)
Rajasthan,Barmer,2025-07,0.0,0.0,-0.0307452297429826,Data Quality (High Lag + Low Count)
Rajasthan,Barmer,2025-09,6667.0,0.86,-0.0538155245984942,Policy Event (High Enrollment Spike)
Madhya Pradesh,Barwani,2025-04,820.0,0.376,-0.0323196550263069,Unclear (Needs Investigation)
Madhya Pradesh,Barwani,2025-05,3174.0,0.568,-0.0253694629175886,Unclear (Needs Investigation)
Madhya Pradesh,Barwani,2025-06,2233.0,0.79,-0.0042610900185241,Unclear (Needs Investigation)
Madhya Pradesh,Barwani,2025-07,7219.0,0.69,-0.0973342016878172,Policy Event (High Enrollment Spike)
Maharashtra,Beed,2025-03,0.0,0.0,-0.0339520779489069,Data Quality (High Lag + Low Count)
Maharashtra,Beed,2025-07,2283.0,0.823,-0.0269226058566696,Unclear (Needs Investigation)
Maharashtra,Beed,2025-11,1580.0,0.466,-0.0224193050152078,Unclear (Needs Investigation)
Bihar,Begusarai,2025-03,0.0,0.0,-0.0330152938600759,Data Quality (High Lag + Low Count)
Chhattisgarh,Bemetara,2025-05,0.0,0.0,-0.0294688356912227,Data Quality (High Lag + Low Count)
Karnataka,Bengaluru,2025-03,0.0,0.0,-0.1192759190861328,Data Quality (High Lag + Low Count)
Karnataka,Bengaluru,2025-04,7847.0,0.702,-0.0646434342553858,Policy Event (High Enrollment Spike)
Karnataka,Bengaluru,2025-05,5251.0,0.446,-0.0487701588612543,Policy Event (High Enrollment Spike)
Karnataka,Bengaluru,2025-06,0.0,0.0,-0.0410292835213101,Data Quality (High Lag + Low Count)
Karnataka,Bengaluru,2025-07,0.0,0.0,-0.0740731858294847,Data Quality (High Lag + Low Count)
Karnataka,Bengaluru,2025-11,5347.0,0.505,-0.0113261977166997,Policy Event (High Enrollment Spike)
Karnataka,Bengaluru,2025-12,3670.0,0.372,-0.0461417127174876,Policy Event (High Enrollment Spike)
Karnataka,Bengaluru Urban,2025-06,10123.0,1.0,-0.0249764256495765,Policy Event (High Enrollment Spike)
Karnataka,Bengaluru Urban,2025-07,12219.0,1.0,-0.0308743692363876,Policy Event (High Enrollment Spike)
Bihar,Bhagalpur,2025-03,71.0,0.011,-0.0154446180981878,Unclear (Needs Investigation)
Rajasthan,Bharatpur,2025-03,0.0,0.0,-0.0334530221130429,Data Quality (High Lag + Low Count)
Rajasthan,Bharatpur,2025-09,6538.0,0.802,-0.0154996651664101,Policy Event (High Enrollment Spike)
Rajasthan,Bhilwara,2025-03,0.0,0.0,-0.0465006698884281,Data Quality (High Lag + Low Count)
Bihar,Bhojpur,2025-03,0.0,0.0,-0.0083288978584584,Data Quality (High Lag + Low Count)
Uttar Pradesh,Bijnor,2025-03,0.0,0.0,-0.0539260224608576,Data Quality (High Lag + Low Count)
Uttar Pradesh,Bijnor,2025-06,0.0,0.0,-0.0009357775999216,Data Quality (High Lag + Low Count)
Uttar Pradesh,Bijnor,2025-07,0.0,0.0,-0.071842996470895,Data Quality (High Lag + Low Count)
Uttar Pradesh,Bijnor,2025-11,4454.0,0.638,-0.0378920096608667,Unclear (Needs Investigation)
Chhattisgarh,Bilaspur,2025-06,0.0,0.0,-0.0759691659225552,Data Quality (High Lag + Low Count)
Chhattisgarh,Bilaspur,2025-12,1241.0,0.289,-0.0060945974011482,Policy Event (High Enrollment Spike)
Jharkhand,Bokaro,2025-03,0.0,0.0,-0.0006819224991575,Data Quality (High Lag + Low Count)
Uttar Pradesh,Budaun,2025-03,0.0,0.0,-0.1132767696261862,Data Quality (High Lag + Low Count)
Maharashtra,Buldhana,2025-11,1034.0,0.538,-0.0556768184175174,Unclear (Needs Investigation)
Uttar Pradesh,Chandauli,2025-03,0.0,0.0,-0.0219361859243443,Data Quality (High Lag + Low Count)
Chandigarh,Chandigarh,2025-07,0.0,0.0,-0.0373911569555994,Data Quality (High Lag + Low Count)
Maharashtra,Chandrapur,2025-11,881.0,0.554,-0.0234010073264179,Unclear (Needs Investigation)
Jharkhand,Chatra,2025-03,0.0,0.0,-0.01834169812084,Data Quality (High Lag + Low Count)
Tamil Nadu,Chennai,2025-03,0.0,0.0,-0.0434488647692169,Data Quality (High Lag + Low Count)
Tamil Nadu,Chennai,2025-12,1634.0,0.298,-0.0092378921864242,Policy Event (High Enrollment Spike)
Madhya Pradesh,Chhatarpur,2025-03,0.0,0.0,-0.0097564643855311,Data Quality (High Lag + Low Count)
Andhra Pradesh,Chittoor,2025-03,0.0,0.0,-0.0674553436779306,Data Quality (High Lag + Low Count)
Andhra Pradesh,Chittoor,2025-04,0.0,0.0,-0.0127033629537762,Data Quality (High Lag + Low Count)
Andhra Pradesh,Chittoor,2025-05,0.0,0.0,-0.0112205178050842,Data Quality (High Lag + Low Count)
Rajasthan,Chittorgarh,2025-03,0.0,0.0,-0.0018289328676254,Data Quality (High Lag + Low Count)
Tamil Nadu,Coimbatore,2025-03,0.0,0.0,-0.0233443270256953,Data Quality (High Lag + Low Count)
Madhya Pradesh,Damoh,2025-04,0.0,0.0,-0.0309726038166869,Data Quality (High Lag + Low Count)
Madhya Pradesh,Damoh,2025-06,0.0,0.0,-0.0039546570829186,Data Quality (High Lag + Low Count)
Bihar,Darbhanga,2025-03,0.0,0.0,-0.0449128684794836,Data Quality (High Lag + Low Count)
Jharkhand,Dhanbad,2025-03,0.0,0.0,-0.0999613676335663,Data Quality (High Lag + Low Count)
Rajasthan,Dholpur,2025-03,0.0,0.0,-0.0811448313243826,Data Quality (High Lag + Low Count)
Maharashtra,Dhule,2025-07,2644.0,0.864,-0.0009910722661733,Unclear (Needs Investigation)
West Bengal,Dinajpur Uttar,2025-07,8934.0,1.0,-0.018812981153691,Policy Event (High Enrollment Spike)
Gujarat,Dohad,2025-07,8001.0,1.0,-0.0045846874483223,Policy Event (High Enrollment Spike)
Jharkhand,Dumka,2025-03,0.0,0.0,-0.0061466461883776,Data Quality (High Lag + Low Count)
Rajasthan,Dungarpur,2025-03,0.0,0.0,-0.1150236140088218,Data Quality (High Lag + Low Count)
Bihar,East Champaran,2025-03,0.0,0.0,-0.1213556691311642,Data Quality (High Lag + Low Count)
Bihar,East Champaran,2025-04,4052.0,1.0,-0.0202132165591502,Unclear (Needs Investigation)
Bihar,East Champaran,2025-09,7262.0,0.675,-0.0658908139825699,Unclear (Needs Investigation)
Bihar,East Champaran,2025-11,5380.0,0.583,-0.0303299393481755,Unclear (Needs Investigation)
Bihar,East Champaran,2025-12,4317.0,0.472,-0.0548573328020639,Unclear (Needs Investigation)
Delhi,East Delhi,2025-03,0.0,0.0,-0.0371856527638738,Data Quality (High Lag + Low Count)
Delhi,East Delhi,2025-04,912.0,0.117,-0.0875537581596246,Unclear (Needs Investigation)
Delhi,East Delhi,2025-05,1378.0,0.273,-0.0576200235246677,Unclear (Needs Investigation)
Delhi,East Delhi,2025-06,985.0,0.237,-0.0227428255351682,Unclear (Needs Investigation)
Delhi,East Delhi,2025-07,1878.0,0.256,-0.0672850896069182,Unclear (Needs Investigation)
Andhra Pradesh,East Godavari,2025-03,0.0,0.0,-0.069434746727708,Data Quality (High Lag + Low Count)
Andhra Pradesh,East Godavari,2025-04,0.0,0.0,-0.0165940746395344,Data Quality (High Lag + Low Count)
Andhra Pradesh,East Godavari,2025-05,0.0,0.0,-0.0249441411428126,Data Quality (High Lag + Low Count)
Andhra Pradesh,East Godavari,2025-06,0.0,0.0,-0.0235839171294398,Data Quality (High Lag + Low Count)
Andhra Pradesh,East Godavari,2025-12,1525.0,0.269,-0.0011384650336913,Policy Event (High Enrollment Spike)
Haryana,Faridabad,2025-07,3465.0,0.596,-0.0016326754270172,Policy Event (High Enrollment Spike)
Uttar Pradesh,Fatehpur,2025-03,0.0,0.0,-0.0307053795623226,Data Quality (High Lag + Low Count)
Uttar Pradesh,Firozabad,2025-07,2990.0,0.527,-0.0251562320537811,Unclear (Needs Investigation)
Rajasthan,Ganganagar,2025-03,0.0,0.0,-0.0016911199843063,Data Quality (High Lag + Low Count)
Odisha,Ganjam,2025-03,0.0,0.0,-0.0291067138315225,Data Quality (High Lag + Low Count)
Bihar,Gaya,2025-03,0.0,0.0,-0.1406245587782133,Data Quality (High Lag + Low Count)
Bihar,Gaya,2025-09,5652.0,0.584,-0.0343317703633228,Unclear (Needs Investigation)
Uttar Pradesh,Ghaziabad,2025-03,689.0,0.117,-0.0432564390081176,Unclear (Needs Investigation)
Uttar Pradesh,Ghaziabad,2025-04,0.0,0.0,-0.0496174395257003,Data Quality (High Lag + Low Count)
Uttar Pradesh,Ghaziabad,2025-07,3716.0,0.655,-0.0074710720729991,Unclear (Needs Investigation)
Uttar Pradesh,Ghazipur,2025-03,0.0,0.0,-0.0310360479572542,Data Quality (High Lag + Low Count)
Jharkhand,Giridih,2025-03,0.0,0.0,-0.1653621939102628,Data Quality (High Lag + Low Count)
Jharkhand,Godda,2025-03,0.0,0.0,-0.0059597329709167,Data Quality (High Lag + Low Count)
Uttar Pradesh,Gonda,2025-03,0.0,0.0,-0.059997841717999,Data Quality (High Lag + Low Count)
Uttar Pradesh,Gorakhpur,2025-03,60.0,0.01,-0.0133366350927861,Unclear (Needs Investigation)
Madhya Pradesh,Guna,2025-07,1072.0,0.481,-0.0142826585199697,Unclear (Needs Investigation)
Andhra Pradesh,Guntur,2025-03,0.0,0.0,-0.081187404633596,Data Quality (High Lag + Low Count)
Andhra Pradesh,Guntur,2025-04,0.0,0.0,-0.0363031550715746,Data Quality (High Lag + Low Count)
Andhra Pradesh,Guntur,2025-05,0.0,0.0,-0.022262768186583,Data Quality (High Lag + Low Count)
Andhra Pradesh,Guntur,2025-06,0.0,0.0,-0.0279176060795987,Data Quality (High Lag + Low Count)
Rajasthan,Hanumangarh,2025-03,0.0,0.0,-0.029745267288479,Data Quality (High Lag + Low Count)
Uttar Pradesh,Hardoi,2025-03,0.0,0.0,-0.0911413028927214,Data Quality (High Lag + Low Count)
Uttar Pradesh,Hardoi,2025-07,8494.0,1.0,-0.0820630247635388,Unclear (Needs Investigation)
Uttar Pradesh,Hardoi,2025-09,5415.0,0.564,-0.0125782908839461,Unclear (Needs Investigation)
Uttarakhand,Haridwar,2025-12,1021.0,0.387,-0.0083976685339454,Policy Event (High Enrollment Spike)
Jharkhand,Hazaribagh,2025-03,0.0,0.0,-0.009308010855577,Data Quality (High Lag + Low Count)
Maharashtra,Hingoli,2025-11,753.0,0.532,-0.0430691537162241,Unclear (Needs Investigation)
West Bengal,Hooghly,2025-03,0.0,0.0,-0.0057531489409959,Data Quality (High Lag + Low Count)
West Bengal,Hooghly,2025-09,5586.0,0.728,-0.0167279399432034,Policy Event (High Enrollment Spike)
Telangana,Hyderabad,2025-03,0.0,0.0,-0.0266612072659351,Data Quality (High Lag + Low Count)
Telangana,Hyderabad,2025-07,7252.0,0.666,-0.0702742390766584,Policy Event (High Enrollment Spike)
Telangana,Hyderabad,2025-12,2682.0,0.344,-0.0158812124297818,Policy Event (High Enrollment Spike)
Manipur,Imphal West,2025-11,358.0,0.084,-0.0043830939370903,Policy Event (High Enrollment Spike)
Madhya Pradesh,Indore,2025-07,4994.0,0.517,-0.08051132007229,Policy Event (High Enrollment Spike)
Rajasthan,Jaipur,2025-03,0.0,0.0,-0.1246129233955362,Data Quality (High Lag + Low Count)
Rajasthan,Jaipur,2025-04,3434.0,0.477,-0.0182306994469195,Unclear (Needs Investigation)
Rajasthan,Jaipur,2025-05,200.0,0.076,-0.0061114710557077,Unclear (Needs Investigation)
Rajasthan,Jaipur,2025-06,0.0,0.0,-0.0132527478565989,Data Quality (High Lag + Low Count)
Rajasthan,Jaipur,2025-07,3438.0,0.574,-0.0121756593241323,Unclear (Needs Investigation)
Rajasthan,Jaipur,2025-09,9131.0,0.756,-0.0904363147820852,Policy Event (High Enrollment Spike)
Rajasthan,Jaipur,2025-11,6792.0,0.588,-0.0663581554626516,Policy Event (High Enrollment Spike)
Rajasthan,Jaipur,2025-12,4623.0,0.465,-0.0609246529012109,Policy Event (High Enrollment Spike)
Maharashtra,Jalgaon,2025-03,0.0,0.0,-0.0332731436193312,Data Quality (High Lag + Low Count)
Maharashtra,Jalgaon,2025-05,641.0,0.998,-0.0179595210137674,Unclear (Needs Investigation)
Maharashtra,Jalgaon,2025-06,0.0,0.0,-0.0242271983927734,Data Quality (High Lag + Low Count)
Maharashtra,Jalgaon,2025-07,1463.0,0.846,-0.0408315340467765,Unclear (Needs Investigation)
Maharashtra,Jalgaon,2025-09,4758.0,0.746,-0.0217792250660039,Policy Event (High Enrollment Spike)
Maharashtra,Jalgaon,2025-11,2332.0,0.607,-0.0653936315256668,Unclear (Needs Investigation)
Rajasthan,Jalor,2025-03,0.0,0.0,-0.0540104657122708,Data Quality (High Lag + Low Count)
Chhattisgarh,Janjgir-champa,2025-03,0.0,0.0,-0.0351624871302296,Data Quality (High Lag + Low Count)
Chhattisgarh,Janjgir-champa,2025-07,0.0,0.0,-0.0006444070340992,Data Quality (High Lag + Low Count)
Madhya Pradesh,Jhabua,2025-07,2761.0,1.0,-0.0118206262710216,Unclear (Needs Investigation)
Rajasthan,Jhalawar,2025-03,0.0,0.0,-0.0907520353258918,Data Quality (High Lag + Low Count)
Rajasthan,Jodhpur,2025-03,0.0,0.0,-0.1160746207956419,Data Quality (High Lag + Low Count)
Rajasthan,Jodhpur,2025-09,6441.0,0.802,-0.046763627598846,Policy Event (High Enrollment Spike)
Telangana,K.v. Rangareddy,2025-03,0.0,0.0,-0.0593851858055706,Data Quality (High Lag + Low Count)
Telangana,K.v. Rangareddy,2025-07,0.0,0.0,-0.0230378856180196,Data Quality (High Lag + Low Count)
Telangana,K.v. Rangareddy,2025-09,5769.0,0.642,-0.0014869772780063,Policy Event (High Enrollment Spike)
Telangana,K.v. Rangareddy,2025-11,4468.0,0.395,-0.0067781704920496,Policy Event (High Enrollment Spike)
Telangana,K.v. Rangareddy,2025-12,2619.0,0.331,-0.0001668191031292,Policy Event (High Enrollment Spike)
Tamil Nadu,Kancheepuram,2025-03,0.0,0.0,-0.0486836688106245,Data Quality (High Lag + Low Count)
Bihar,Katihar,2025-03,0.0,0.0,-0.119105973783665,Data Quality (High Lag + Low Count)
Bihar,Katihar,2025-04,0.0,0.0,-0.0710783603929388,Data Quality (High Lag + Low Count)
Bihar,Katihar,2025-09,5361.0,0.731,-0.038021630245577,Unclear (Needs Investigation)
Chhattisgarh,Kawardha,2025-03,0.0,0.0,-0.0363625745173736,Data Quality (High Lag + Low Count)
Chhattisgarh,Kawardha,2025-06,0.0,0.0,-0.0326805662665554,Data Quality (High Lag + Low Count)
Madhya Pradesh,Khargone,2025-07,4724.0,0.95,-0.0540028197926925,Unclear (Needs Investigation)
Uttar Pradesh,Kheri,2025-03,0.0,0.0,-0.150567424590498,Data Quality (High Lag + Low Count)
Uttar Pradesh,Kheri,2025-07,4629.0,1.0,-0.031148742943997,Unclear (Needs Investigation)
Uttar Pradesh,Kheri,2025-09,6904.0,0.64,-0.0422804332188574,Unclear (Needs Investigation)
Uttar Pradesh,Kheri,2025-11,3996.0,0.666,-0.0056287461220642,Unclear (Needs Investigation)
Bihar,Kishanganj,2025-03,0.0,0.0,-0.0758304334959621,Data Quality (High Lag + Low Count)
Bihar,Kishanganj,2025-07,0.0,0.0,-0.0201538558599149,Data Quality (High Lag + Low Count)
Bihar,Kishanganj,2025-09,3035.0,0.722,-0.1127626891451727,Unclear (Needs Investigation)
Maharashtra,Kolhapur,2025-11,1997.0,0.577,-0.0117639968047095,Unclear (Needs Investigation)
Chhattisgarh,Kondagaon,2025-06,0.0,0.0,-0.1099951661363901,Data Quality (High Lag + Low Count)
Rajasthan,Kota,2025-03,0.0,0.0,-0.018719255707259,Data Quality (High Lag + Low Count)
Andhra Pradesh,Krishna,2025-03,0.0,0.0,-0.000153316408098,Data Quality (High Lag + Low Count)
Andhra Pradesh,Krishna,2025-04,0.0,0.0,-0.0004069256985509,Data Quality (High Lag + Low Count)
Andhra Pradesh,Kurnool,2025-03,0.0,0.0,-0.0851912132424652,Data Quality (High Lag + Low Count)
Andhra Pradesh,Kurnool,2025-04,0.0,0.0,-0.0887925882055579,Data Quality (High Lag + Low Count)
Andhra Pradesh,Kurnool,2025-05,0.0,0.0,-0.0732343999381772,Data Quality (High Lag + Low Count)
Andhra Pradesh,Kurnool,2025-06,0.0,0.0,-0.0454779407370461,Data Quality (High Lag + Low Count)
Uttar Pradesh,Kushinagar,2025-03,0.0,0.0,-0.1333547532337303,Data Quality (High Lag + Low Count)
Uttar Pradesh,Kushinagar,2025-07,0.0,0.0,-0.0621972381231881,Data Quality (High Lag + Low Count)
Maharashtra,Latur,2025-03,0.0,0.0,-0.0049363933319382,Data Quality (High Lag + Low Count)
Maharashtra,Latur,2025-04,294.0,0.996,-0.0027983940511487,Unclear (Needs Investigation)
Maharashtra,Latur,2025-05,0.0,0.0,-0.04693495670245,Data Quality (High Lag + Low Count)
Maharashtra,Latur,2025-06,545.0,0.998,-0.009923835556153,Unclear (Needs Investigation)
Maharashtra,Latur,2025-11,1445.0,0.551,-0.0160108979130469,Unclear (Needs Investigation)
Uttar Pradesh,Lucknow,2025-03,142.0,0.038,-0.0042308325211759,Unclear (Needs Investigation)
Uttar Pradesh,Lucknow,2025-09,6499.0,0.716,-0.0211106752332537,Unclear (Needs Investigation)
