state,district,month,enrol_total,cis,anomaly_score,anomaly_type
Uttar Pradesh,Lucknow,2025-12,3147.0,0.483,-0.0138738236152458,Unclear (Needs Investigation)
Bihar,Madhubani,2025-03,330.0,0.076,-0.0436337108110983,Unclear (Needs Investigation)
Bihar,Madhubani,2025-04,933.0,0.999,-0.017777856062724,Unclear (Needs Investigation)
Bihar,Madhubani,2025-12,3735.0,0.529,-0.0039820958625031,Unclear (Needs Investigation)
Tamil Nadu,Madurai,2025-03,0.0,0.0,-0.0341763416487784,Data Quality (High Lag + Low Count)
Uttar Pradesh,Maharajganj,2025-03,282.0,0.082,-0.0160046622871388,Unclear (Needs Investigation)
Chhattisgarh,Mahasamund,2025-06,0.0,0.0,-0.1736428627076005,Data Quality (High Lag + Low Count)
Chhattisgarh,Mahasamund,2025-07,0.0,0.0,-0.0054961765118347,Data Quality (High Lag + Low Count)
Kerala,Malappuram,2025-05,266.0,0.996,-0.0016723940679088,Unclear (Needs Investigation)
West Bengal,Malda,2025-03,0.0,0.0,-0.0122815794809201,Data Quality (High Lag + Low Count)
Uttar Pradesh,Meerut,2025-03,0.0,0.0,-0.0966585448074039,Data Quality (High Lag + Low Count)
Uttar Pradesh,Meerut,2025-07,4184.0,0.798,-0.0100069680415012,Unclear (Needs Investigation)
Haryana,Mewat,2025-07,0.0,0.0,-0.0010548979533537,Data Quality (High Lag + Low Count)
Uttar Pradesh,Moradabad,2025-03,0.0,0.0,-0.046362577353187,Data Quality (High Lag + Low Count)
Uttar Pradesh,Moradabad,2025-04,2044.0,1.0,-0.0003191663946121,Unclear (Needs Investigation)
Uttar Pradesh,Moradabad,2025-07,4051.0,0.742,-0.0481110813530077,Unclear (Needs Investigation)
Madhya Pradesh,Morena,2025-03,0.0,0.0,-0.0947007069310753,Data Quality (High Lag + Low Count)
Madhya Pradesh,Morena,2025-06,2269.0,0.74,-0.0122361760914405,Unclear (Needs Investigation)
Madhya Pradesh,Morena,2025-07,6073.0,0.609,-0.078288281288233,Policy Event (High Enrollment Spike)
Maharashtra,Mumbai,2025-03,0.0,0.0,-0.0518139637709369,Data Quality (High Lag + Low Count)
Maharashtra,Mumbai,2025-05,0.0,0.0,-0.0102908215452612,Data Quality (High Lag + Low Count)
Maharashtra,Mumbai,2025-06,0.0,0.0,-0.0102908215452612,Data Quality (High Lag + Low Count)
Maharashtra,Mumbai,2025-07,931.0,0.999,-0.0214465165596476,Unclear (Needs Investigation)
Maharashtra,Mumbai,2025-09,4265.0,0.756,-0.0024059263482945,Policy Event (High Enrollment Spike)
Maharashtra,Mumbai,2025-11,4166.0,0.703,-0.0637353944692311,Policy Event (High Enrollment Spike)
Maharashtra,Mumbai,2025-12,2554.0,0.589,-0.0471646189590115,Unclear (Needs Investigation)
Maharashtra,Mumbai Suburban,2025-03,0.0,0.0,-0.0275977364466426,Data Quality (High Lag + Low Count)
Chhattisgarh,Mungeli,2025-07,0.0,0.0,-0.025425623740465,Data Quality (High Lag + Low Count)
West Bengal,Murshidabad,2025-03,0.0,0.0,-0.072596099760174,Data Quality (High Lag + Low Count)
West Bengal,Murshidabad,2025-06,0.0,0.0,-0.0067229832406155,Data Quality (High Lag + Low Count)
West Bengal,Murshidabad,2025-07,0.0,0.0,-0.0839858985732848,Data Quality (High Lag + Low Count)
West Bengal,Murshidabad,2025-09,13877.0,0.686,-0.08916868791094,Policy Event (High Enrollment Spike)
West Bengal,Murshidabad,2025-10,8985.0,0.775,-0.0541517087544655,Policy Event (High Enrollment Spike)
West Bengal,Murshidabad,2025-11,8427.0,0.621,-0.0672450210027778,Policy Event (High Enrollment Spike)
West Bengal,Murshidabad,2025-12,4622.0,0.47,-0.0275248233743995,Policy Event (High Enrollment Spike)
Uttar Pradesh,Muzaffarnagar,2025-03,0.0,0.0,-0.016027957185041,Data Quality (High Lag + Low Count)
Bihar,Muzaffarpur,2025-03,74.0,0.014,-0.0284806111606856,Unclear (Needs Investigation)
Bihar,Muzaffarpur,2025-09,5444.0,0.653,-0.0115671288618288,Unclear (Needs Investigation)
West Bengal,Nadia,2025-09,5134.0,0.669,-0.0017109812788953,Policy Event (High Enrollment Spike)
Rajasthan,Nagaur,2025-03,0.0,0.0,-0.0565575532240982,Data Quality (High Lag + Low Count)
Rajasthan,Nagaur,2025-09,6227.0,0.817,-0.033230687418551,Policy Event (High Enrollment Spike)
Maharashtra,Nagpur,2025-03,0.0,0.0,-0.0748102228039081,Data Quality (High Lag + Low Count)
Maharashtra,Nagpur,2025-06,0.0,0.0,-0.0206549376824974,Data Quality (High Lag + Low Count)
Maharashtra,Nagpur,2025-11,2747.0,0.542,-0.0264135284164144,Unclear (Needs Investigation)
Bihar,Nalanda,2025-09,3687.0,0.625,-0.0291161041950697,Unclear (Needs Investigation)
Maharashtra,Nanded,2025-03,0.0,0.0,-0.0542144498466219,Data Quality (High Lag + Low Count)
Maharashtra,Nanded,2025-06,584.0,0.998,-0.0251840083808367,Unclear (Needs Investigation)
Maharashtra,Nanded,2025-07,1803.0,0.924,-0.0270150787101319,Unclear (Needs Investigation)
Maharashtra,Nanded,2025-11,1599.0,0.47,-0.0952432426379018,Unclear (Needs Investigation)
Maharashtra,Nandurbar,2025-07,3100.0,0.925,-0.0596381715664879,Policy Event (High Enrollment Spike)
Chhattisgarh,Narayanpur,2025-07,0.0,0.0,-0.0274837325522497,Data Quality (High Lag + Low Count)
Maharashtra,Nashik,2025-03,0.0,0.0,-0.118665505477251,Data Quality (High Lag + Low Count)
Maharashtra,Nashik,2025-04,0.0,0.0,-0.0128765276376903,Data Quality (High Lag + Low Count)
Maharashtra,Nashik,2025-05,156.0,0.349,-0.0017270572045354,Unclear (Needs Investigation)
Maharashtra,Nashik,2025-06,0.0,0.0,-0.0688200952034281,Data Quality (High Lag + Low Count)
Maharashtra,Nashik,2025-07,4615.0,0.817,-0.0882927665253354,Policy Event (High Enrollment Spike)
Maharashtra,Nashik,2025-09,7066.0,0.742,-0.0859582075998613,Policy Event (High Enrollment Spike)
Maharashtra,Nashik,2025-10,2779.0,0.665,-0.011298090876697,Unclear (Needs Investigation)
Maharashtra,Nashik,2025-11,4481.0,0.59,-0.1167953485054652,Policy Event (High Enrollment Spike)
Maharashtra,Nashik,2025-12,3271.0,0.478,-0.0760100670934182,Policy Event (High Enrollment Spike)
West Bengal,North 24 Parganas,2025-03,0.0,0.0,-0.1068024927180361,Data Quality (High Lag + Low Count)
West Bengal,North 24 Parganas,2025-09,10642.0,0.764,-0.0937464411827733,Policy Event (High Enrollment Spike)
West Bengal,North 24 Parganas,2025-10,5877.0,0.767,-0.0206999213068874,Policy Event (High Enrollment Spike)
West Bengal,North 24 Parganas,2025-11,6333.0,0.681,-0.064129994339749,Policy Event (High Enrollment Spike)
West Bengal,North 24 Parganas,2025-12,4796.0,0.531,-0.0305553612790805,Policy Event (High Enrollment Spike)
Delhi,North Delhi,2025-03,0.0,0.0,-0.0226199047399253,Data Quality (High Lag + Low Count)
Delhi,North Delhi,2025-04,0.0,0.0,-0.0492127042474906,Data Quality (High Lag + Low Count)
Delhi,North Delhi,2025-05,0.0,0.0,-0.0264044076060806,Data Quality (High Lag + Low Count)
Delhi,North East,2025-04,0.0,0.0,-0.0044051668721589,Data Quality (High Lag + Low Count)
Delhi,North East Delhi,2025-03,0.0,0.0,-0.0426935780509346,Data Quality (High Lag + Low Count)
Delhi,North East Delhi,2025-04,0.0,0.0,-0.1260205834282867,Data Quality (High Lag + Low Count)
Delhi,North East Delhi,2025-05,0.0,0.0,-0.0648828867925271,Data Quality (High Lag + Low Count)
Delhi,North East Delhi,2025-06,1577.0,0.342,-0.0301772348229825,Unclear (Needs Investigation)
Delhi,North East Delhi,2025-07,4482.0,0.542,-0.0719482257857569,Policy Event (High Enrollment Spike)
Delhi,North West Delhi,2025-03,60.0,0.008,-0.1302579759883955,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-04,1306.0,0.118,-0.1575101367435919,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-05,644.0,0.106,-0.1171610688052803,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-06,798.0,0.296,-0.0435251385750796,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-07,1171.0,0.133,-0.1123221977463817,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-12,2568.0,0.44,-0.0140817259313432,Unclear (Needs Investigation)
Jharkhand,Pakur,2025-03,0.0,0.0,-0.0525919363448772,Data Quality (High Lag + Low Count)
Jharkhand,Palamu,2025-03,0.0,0.0,-0.1547552022273107,Data Quality (High Lag + Low Count)
Haryana,Palwal,2025-07,0.0,0.0,-0.0084731978679727,Data Quality (High Lag + Low Count)
Maharashtra,Parbhani,2025-07,0.0,0.0,-0.0027575025490326,Data Quality (High Lag + Low Count)
Maharashtra,Parbhani,2025-11,1487.0,0.568,-0.032199364552792,Unclear (Needs Investigation)
West Bengal,Paschim Medinipur,2025-09,7043.0,0.669,-0.0559829753597983,Policy Event (High Enrollment Spike)
West Bengal,Paschim Medinipur,2025-11,4282.0,0.52,-0.0218967052177366,Policy Event (High Enrollment Spike)
Bihar,Pashchim Champaran,2025-07,9642.0,1.0,-0.0249764256495765,Policy Event (High Enrollment Spike)
Bihar,Patna,2025-03,80.0,0.013,-0.0248988442531894,Unclear (Needs Investigation)
Bihar,Patna,2025-09,6425.0,0.606,-0.048041125802962,Unclear (Needs Investigation)
Bihar,Patna,2025-12,3617.0,0.394,-0.0246648949402995,Unclear (Needs Investigation)
Uttar Pradesh,Pilibhit,2025-03,0.0,0.0,-0.1002359835575545,Data Quality (High Lag + Low Count)
Uttar Pradesh,Pilibhit,2025-04,878.0,0.476,-0.0124300490079265,Unclear (Needs Investigation)
Uttar Pradesh,Pilibhit,2025-05,2028.0,0.675,-0.0124172339015055,Unclear (Needs Investigation)
Uttar Pradesh,Pilibhit,2025-07,2766.0,0.646,-0.0362045292876349,Unclear (Needs Investigation)
Andhra Pradesh,Prakasam,2025-03,0.0,0.0,-0.0044385801673006,Data Quality (High Lag + Low Count)
Uttar Pradesh,Pratapgarh,2025-03,0.0,0.0,-0.0039444294100112,Data Quality (High Lag + Low Count)
Maharashtra,Pune,2025-03,0.0,0.0,-0.1486729953979907,Data Quality (High Lag + Low Count)
Maharashtra,Pune,2025-04,69.0,0.04,-0.0025457702900252,Unclear (Needs Investigation)
Maharashtra,Pune,2025-06,236.0,0.104,-0.024510555886822,Unclear (Needs Investigation)
Maharashtra,Pune,2025-07,5488.0,0.622,-0.0958352908428327,Policy Event (High Enrollment Spike)
Maharashtra,Pune,2025-09,7877.0,0.655,-0.1064326159034025,Policy Event (High Enrollment Spike)
Maharashtra,Pune,2025-10,4889.0,0.645,-0.0534078520468165,Policy Event (High Enrollment Spike)
Maharashtra,Pune,2025-11,7312.0,0.552,-0.1343183991591344,Policy Event (High Enrollment Spike)
Maharashtra,Pune,2025-12,5406.0,0.42,-0.1289104082051765,Policy Event (High Enrollment Spike)
Bihar,Purbi Champaran,2025-07,8337.0,1.0,-0.0184041495869008,Policy Event (High Enrollment Spike)
Bihar,Purnia,2025-03,0.0,0.0,-0.0579664728179603,Data Quality (High Lag + Low Count)
Bihar,Purnia,2025-04,814.0,0.999,-0.0379487560113593,Unclear (Needs Investigation)
Bihar,Purnia,2025-07,1924.0,0.999,-0.0189243390880445,Unclear (Needs Investigation)
Bihar,Purnia,2025-09,5375.0,0.78,-0.016885878472152,Unclear (Needs Investigation)
Uttar Pradesh,Rae Bareli,2025-03,0.0,0.0,-0.0121930591218754,Data Quality (High Lag + Low Count)
Chhattisgarh,Raipur,2025-06,0.0,0.0,-0.0326236654426719,Data Quality (High Lag + Low Count)
Madhya Pradesh,Rajgarh,2025-07,0.0,0.0,-0.007472853159242,Data Quality (High Lag + Low Count)
Chhattisgarh,Rajnandgaon,2025-03,0.0,0.0,-0.0190275313981876,Data Quality (High Lag + Low Count)
Chhattisgarh,Rajnandgaon,2025-06,0.0,0.0,-0.1705667566877603,Data Quality (High Lag + Low Count)
Uttar Pradesh,Rampur,2025-03,0.0,0.0,-0.0612931642494373,Data Quality (High Lag + Low Count)
Uttar Pradesh,Rampur,2025-06,1466.0,0.519,-0.0167151909499666,Unclear (Needs Investigation)
Uttar Pradesh,Rampur,2025-07,6154.0,0.725,-0.1070455118494247,Unclear (Needs Investigation)
Jharkhand,Ranchi,2025-03,0.0,0.0,-0.1004780753459979,Data Quality (High Lag + Low Count)
Madhya Pradesh,Ratlam,2025-07,0.0,0.0,-0.0584583830600832,Data Quality (High Lag + Low Count)
Uttar Pradesh,Saharanpur,2025-07,2920.0,0.773,-0.0183331075740116,Unclear (Needs Investigation)
Jharkhand,Sahebganj,2025-03,0.0,0.0,-0.0207869146043387,Data Quality (High Lag + Low Count)
Tamil Nadu,Salem,2025-03,0.0,0.0,-0.0749977440732205,Data Quality (High Lag + Low Count)
Bihar,Samastipur,2025-03,0.0,0.0,-0.112072884187182,Data Quality (High Lag + Low Count)
Bihar,Samastipur,2025-09,5505.0,0.69,-0.0226903086246934,Unclear (Needs Investigation)
Bihar,Samastipur,2025-12,4198.0,0.516,-0.0250483080342661,Unclear (Needs Investigation)
Uttar Pradesh,Sambhal,2025-03,0.0,0.0,-0.0447776892319533,Data Quality (High Lag + Low Count)
Uttar Pradesh,Sant Kabir Nagar,2025-03,0.0,0.0,-0.0310977892024251,Data Quality (High Lag + Low Count)
Bihar,Saran,2025-03,0.0,0.0,-0.0518403999285931,Data Quality (High Lag + Low Count)
Bihar,Saran,2025-09,6369.0,0.701,-0.0161757782142673,Unclear (Needs Investigation)
Uttar Pradesh,Shahjahanpur,2025-03,0.0,0.0,-0.0339598850391689,Data Quality (High Lag + Low Count)
Uttar Pradesh,Shahjahanpur,2025-07,7925.0,0.867,-0.0958387619168967,Unclear (Needs Investigation)
Madhya Pradesh,Shivpuri,2025-03,0.0,0.0,-0.0106511429890127,Data Quality (High Lag + Low Count)
Madhya Pradesh,Shivpuri,2025-06,783.0,0.999,-0.0569068096233086,Unclear (Needs Investigation)
Madhya Pradesh,Shivpuri,2025-07,1364.0,0.495,-0.0555011082236615,Unclear (Needs Investigation)
Madhya Pradesh,Sidhi,2025-03,0.0,0.0,-0.0308551322667642,Data Quality (High Lag + Low Count)
Madhya Pradesh,Sidhi,2025-04,0.0,0.0,-0.0160386997156303,Data Quality (High Lag + Low Count)
Madhya Pradesh,Sidhi,2025-06,0.0,0.0,-0.0091942530190304,Data Quality (High Lag + Low Count)
Madhya Pradesh,Singrauli,2025-04,0.0,0.0,-0.0405798715176347,Data Quality (High Lag + Low Count)
Bihar,Sitamarhi,2025-03,1335.0,0.253,-0.0367295296156996,Unclear (Needs Investigation)
Bihar,Sitamarhi,2025-04,4564.0,1.0,-0.0144924487691353,Unclear (Needs Investigation)
Bihar,Sitamarhi,2025-05,5696.0,0.874,-0.0298949980755469,Unclear (Needs Investigation)
Bihar,Sitamarhi,2025-06,6476.0,1.0,-0.0207718904000345,Unclear (Needs Investigation)
Bihar,Sitamarhi,2025-07,9117.0,1.0,-0.0599712739158508,Policy Event (High Enrollment Spike)
Uttar Pradesh,Sitapur,2025-03,0.0,0.0,-0.1642859340820578,Data Quality (High Lag + Low Count)
Uttar Pradesh,Sitapur,2025-04,3068.0,1.0,-0.0588947174944184,Unclear (Needs Investigation)
Uttar Pradesh,Sitapur,2025-05,1373.0,0.999,-0.0039541863225149,Unclear (Needs Investigation)
Uttar Pradesh,Sitapur,2025-07,8116.0,1.0,-0.1059557145660827,Unclear (Needs Investigation)
Uttar Pradesh,Sitapur,2025-09,6552.0,0.632,-0.0392081185050278,Unclear (Needs Investigation)
Maharashtra,Solapur,2025-03,0.0,0.0,-0.0746189139414683,Data Quality (High Lag + Low Count)
Maharashtra,Solapur,2025-11,2762.0,0.597,-0.056742975671493,Unclear (Needs Investigation)
Maharashtra,Solapur,2025-12,2421.0,0.557,-0.028593913573843,Unclear (Needs Investigation)
West Bengal,South 24 Parganas,2025-03,0.0,0.0,-0.1106397077362628,Data Quality (High Lag + Low Count)
West Bengal,South 24 Parganas,2025-07,0.0,0.0,-0.0803278070100417,Data Quality (High Lag + Low Count)
West Bengal,South 24 Parganas,2025-09,9459.0,0.67,-0.0729823513846572,Policy Event (High Enrollment Spike)
West Bengal,South 24 Parganas,2025-10,9838.0,0.779,-0.0708371831239002,Policy Event (High Enrollment Spike)
West Bengal,South 24 Parganas,2025-11,8838.0,0.648,-0.0714392519660784,Policy Event (High Enrollment Spike)
West Bengal,South 24 Parganas,2025-12,5405.0,0.551,-0.033228453922818,Policy Event (High Enrollment Spike)
Delhi,South Delhi,2025-03,0.0,0.0,-0.111050231660762,Data Quality (High Lag + Low Count)
Delhi,South Delhi,2025-04,563.0,0.078,-0.1422045590216054,Unclear (Needs Investigation)
Delhi,South West Delhi,2025-03,0.0,0.0,-0.0503493919756772,Data Quality (High Lag + Low Count)
Delhi,South West Delhi,2025-04,825.0,0.136,-0.0525821143811768,Unclear (Needs Investigation)
Andhra Pradesh,Srikakulam,2025-03,0.0,0.0,-0.0795530215262151,Data Quality (High Lag + Low Count)
Bihar,Supaul,2025-03,0.0,0.0,-0.0265733450564167,Data Quality (High Lag + Low Count)
Gujarat,Surat,2025-03,0.0,0.0,-0.1136263553342874,Data Quality (High Lag + Low Count)
Gujarat,Surat,2025-04,4188.0,0.631,-0.0189422655044722,Policy Event (High Enrollment Spike)
Gujarat,Surat,2025-05,1986.0,0.234,-0.0775772975652566,Unclear (Needs Investigation)
Gujarat,Surat,2025-06,0.0,0.0,-0.0160192198060965,Data Quality (High Lag + Low Count)
Gujarat,Surat,2025-07,4356.0,0.525,-0.0535340918198213,Policy Event (High Enrollment Spike)
Gujarat,Surat,2025-11,5105.0,0.566,-0.0216650014314467,Policy Event (High Enrollment Spike)
Gujarat,Surat,2025-12,2675.0,0.347,-0.0367925354182526,Unclear (Needs Investigation)
Chhattisgarh,Surguja,2025-07,0.0,0.0,-0.0276978160382758,Data Quality (High Lag + Low Count)
Maharashtra,Thane,2025-03,47.0,0.005,-0.0792976097552764,Unclear (Needs Investigation)
Maharashtra,Thane,2025-04,3434.0,0.716,-0.0237683751422015,Policy Event (High Enrollment Spike)
Maharashtra,Thane,2025-05,2332.0,0.409,-0.0337711872500648,Unclear (Needs Investigation)
Maharashtra,Thane,2025-06,4421.0,0.487,-0.0846385877558253,Policy Event (High Enrollment Spike)
Maharashtra,Thane,2025-07,7343.0,0.704,-0.1374931639068755,Policy Event (High Enrollment Spike)
Maharashtra,Thane,2025-09,8780.0,0.706,-0.1089512670618509,Policy Event (High Enrollment Spike)
Maharashtra,Thane,2025-10,4942.0,0.645,-0.062058404887255,Policy Event (High Enrollment Spike)
Maharashtra,Thane,2025-11,7684.0,0.603,-0.1439343950846973,Policy Event (High Enrollment Spike)
Maharashtra,Thane,2025-12,4705.0,0.403,-0.1141699632124725,Policy Event (High Enrollment Spike)
Manipur,Thoubal,2025-07,0.0,0.0,-0.0033189618277433,Data Quality (High Lag + Low Count)
Madhya Pradesh,Tikamgarh,2025-07,0.0,0.0,-0.0377115138988407,Data Quality (High Lag + Low Count)
Tamil Nadu,Tirunelveli,2025-03,0.0,0.0,-0.0252898792153857,Data Quality (High Lag + Low Count)
Tamil Nadu,Tiruvallur,2025-03,0.0,0.0,-0.0691317337119201,Data Quality (High Lag + Low Count)
Rajasthan,Udaipur,2025-03,0.0,0.0,-0.1147505428474953,Data Quality (High Lag + Low Count)
Rajasthan,Udaipur,2025-09,5484.0,0.803,-0.0034481519056248,Policy Event (High Enrollment Spike)
Uttarakhand,Udham Singh Nagar,2025-03,0.0,0.0,-0.0055709729088843,Data Quality (High Lag + Low Count)
Uttarakhand,Udham Singh Nagar,2025-07,0.0,0.0,-0.0037863619570338,Data Quality (High Lag + Low Count)
Uttarakhand,Udham Singh Nagar,2025-12,1156.0,0.399,-0.0166168943268102,Policy Event (High Enrollment Spike)
West Bengal,Uttar Dinajpur,2025-07,0.0,0.0,-0.1026717411274658,Data Quality (High Lag + Low Count)
West Bengal,Uttar Dinajpur,2025-09,8083.0,0.724,-0.0694594567029274,Policy Event (High Enrollment Spike)
West Bengal,Uttar Dinajpur,2025-10,6331.0,0.804,-0.042577663926037,Policy Event (High Enrollment Spike)
West Bengal,Uttar Dinajpur,2025-11,4434.0,0.666,-0.0014167826471617,Policy Event (High Enrollment Spike)
Bihar,Vaishali,2025-03,0.0,0.0,-0.0682365501141692,Data Quality (High Lag + Low Count)
Bihar,Vaishali,2025-09,5984.0,0.731,-0.0041623681031325,Unclear (Needs Investigation)
Uttar Pradesh,Varanasi,2025-03,0.0,0.0,-0.0489713776364892,Data Quality (High Lag + Low Count)
Uttar Pradesh,Varanasi,2025-07,6653.0,1.0,-0.0448571534922623,Unclear (Needs Investigation)
Andhra Pradesh,Visakhapatnam,2025-03,0.0,0.0,-0.0907386619169157,Data Quality (High Lag + Low Count)
Andhra Pradesh,Visakhapatnam,2025-04,0.0,0.0,-0.0637432034532208,Data Quality (High Lag + Low Count)
Andhra Pradesh,Visakhapatnam,2025-05,0.0,0.0,-0.0292709295058862,Data Quality (High Lag + Low Count)
Andhra Pradesh,Visakhapatnam,2025-06,0.0,0.0,-0.0345272941678515,Data Quality (High Lag + Low Count)
Bihar,West Champaran,2025-03,0.0,0.0,-0.1355558694624415,Data Quality (High Lag + Low Count)
Bihar,West Champaran,2025-04,6709.0,1.0,-0.0652944833104912,Unclear (Needs Investigation)
Bihar,West Champaran,2025-09,6198.0,0.672,-0.0722125880223145,Unclear (Needs Investigation)
Bihar,West Champaran,2025-10,3946.0,0.633,-0.0012689526702449,Unclear (Needs Investigation)
Bihar,West Champaran,2025-11,4474.0,0.568,-0.0328924749307192,Unclear (Needs Investigation)
Bihar,West Champaran,2025-12,4145.0,0.475,-0.0558838993147594,Unclear (Needs Investigation)
Delhi,West Delhi,2025-03,308.0,0.051,-0.0982876016897221,Unclear (Needs Investigation)
Delhi,West Delhi,2025-04,1872.0,0.206,-0.1263187236770115,Unclear (Needs Investigation)
Delhi,West Delhi,2025-05,2076.0,0.682,-0.0241096714975923,Unclear (Needs Investigation)
Delhi,West Delhi,2025-06,2414.0,0.355,-0.0771742092128719,Unclear (Needs Investigation)
Delhi,West Delhi,2025-07,5352.0,0.552,-0.0930217629977694,Policy Event (High Enrollment Spike)
Andhra Pradesh,West Godavari,2025-03,0.0,0.0,-0.0224223327580639,Data Quality (High Lag + Low Count)
Maharashtra,Yavatmal,2025-03,0.0,0.0,-0.0492403826540926,Data Quality (High Lag + Low Count)
Maharashtra,Yavatmal,2025-07,1302.0,0.945,-0.0127142974441833,Unclear (Needs Investigation)
Maharashtra,Yavatmal,2025-11,1094.0,0.563,-0.1307226502377805,Unclear (Needs Investigation)
Maharashtra,Yavatmal,2025-12,1421.0,0.552,-0.0191159522435608,Unclear (Needs Investigation)
